E,DOS_s,DOS_p,DOS_d,DOS_f
16.6499999999999986,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6599999999999966,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6700000000000017,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6799999999999997,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.6899999999999977,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7000000000000028,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7100000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7199999999999989,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7300000000000040,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7400000000000020,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7500000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7600000000000051,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7700000000000031,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7800000000000011,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.7899999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8000000000000043,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8100000000000023,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8200000000000003,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8299999999999983,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8400000000000034,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8500000000000014,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8599999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8699999999999974,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8800000000000026,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8900000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.8999999999999986,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9099999999999966,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9200000000000017,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9299999999999997,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9399999999999977,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9499999999999957,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9600000000000009,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9699999999999989,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9799999999999969,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
16.9899999999999949,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0099999999999980,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0199999999999960,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0300000000000011,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0399999999999991,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0499999999999972,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0600000000000023,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0700000000000003,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0799999999999983,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.0900000000000034,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1000000000000014,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1099999999999994,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1200000000000045,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1300000000000026,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1400000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1499999999999986,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
17.1600000000000037,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000
